,appear,rank
negative_emotion,33125.0,0
speaking,31570.0,1
communication,29645.0,2
positive_emotion,24952.0,3
friends,23217.0,4
children,22027.0,5
trust,21435.0,6
optimism,17645.0,7
sexual,17412.0,8
giving,16766.0,9
violence,16413.0,10
love,16000.0,11
business,13725.0,12
strength,13656.0,13
family,13534.0,14
wedding,13437.0,15
masculine,13419.0,16
pain,13344.0,17
appearance,12935.0,18
feminine,12887.0,19
shame,12275.0,20
hate,11787.0,21
emotional,11695.0,22
reading,11352.0,23
dispute,11234.0,24
childish,10763.0,25
attractive,10666.0,26
traveling,10491.0,27
youth,10253.0,28
suffering,10037.0,29
healing,9994.0,30
party,9903.0,31
listen,9810.0,32
school,9698.0,33
body,9662.0,34
help,9642.0,35
nervousness,9241.0,36
hearing,9237.0,37
affection,8768.0,38
writing,8655.0,39
internet,8638.0,40
sadness,8621.0,41
meeting,8556.0,42
social_media,8481.0,43
work,8386.0,44
swearing_terms,8255.0,45
health,8067.0,46
phone,7798.0,47
power,7684.0,48
death,7551.0,49
college,7486.0,50
shape_and_size,7477.0,51
messaging,7318.0,52
movement,7282.0,53
contentment,7280.0,54
money,7256.0,55
celebration,6921.0,56
cold,6587.0,57
achievement,6559.0,58
fight,6503.0,59
home,6426.0,60
confusion,6321.0,61
valuable,6250.0,62
order,6154.0,63
aggression,6142.0,64
play,6091.0,65
deception,5996.0,66
injury,5963.0,67
sports,5863.0,68
fear,5823.0,69
leisure,5645.0,70
heroic,5602.0,71
philosophy,5596.0,72
economics,5373.0,73
breaking,5184.0,74
science,5147.0,75
law,5131.0,76
gain,5116.0,77
independence,5097.0,78
vacation,5030.0,79
music,5008.0,80
lust,4998.0,81
divine,4973.0,82
competing,4781.0,83
toy,4662.0,84
religion,4382.0,85
leader,4317.0,86
payment,4262.0,87
banking,4097.0,88
eating,4087.0,89
stealing,4084.0,90
government,3997.0,91
domestic_work,3919.0,92
shopping,3900.0,93
crime,3884.0,94
technology,3841.0,95
legend,3783.0,96
fun,3772.0,97
computer,3567.0,98
politics,3565.0,99
art,3518.0,100
exercise,3497.0,101
war,3409.0,102
politeness,3343.0,103
occupation,3284.0,104
sleep,3258.0,105
weakness,3251.0,106
wealthy,3245.0,107
envy,3199.0,108
driving,3138.0,109
timidity,3114.0,110
hipster,3068.0,111
sympathy,3026.0,112
dominant_personality,3008.0,113
anger,3004.0,114
musical,2980.0,115
ridicule,2876.0,116
clothing,2861.0,117
beauty,2856.0,118
poor,2833.0,119
journalism,2811.0,120
kill,2778.0,121
dominant_heirarchical,2762.0,122
animal,2721.0,123
white_collar_job,2685.0,124
neglect,2663.0,125
disgust,2617.0,126
real_estate,2602.0,127
programming,2590.0,128
office,2554.0,129
ancient,2500.0,130
sound,2497.0,131
restaurant,2494.0,132
zest,2458.0,133
joy,2410.0,134
cheerfulness,2406.0,135
medical_emergency,2385.0,136
torment,2372.0,137
rage,2303.0,138
cooking,2280.0,139
pride,2236.0,140
ugliness,2221.0,141
worship,2211.0,142
noise,2140.0,143
night,2132.0,144
disappointment,2126.0,145
horror,2102.0,146
negotiate,2076.0,147
weapon,2072.0,148
rural,2064.0,149
fashion,2057.0,150
cleaning,1986.0,151
dance,1968.0,152
urban,1847.0,153
morning,1781.0,154
vehicle,1716.0,155
military,1713.0,156
weather,1704.0,157
fabric,1677.0,158
alcohol,1650.0,159
car,1618.0,160
magic,1559.0,161
prison,1442.0,162
warmth,1424.0,163
surprise,1409.0,164
fire,1374.0,165
smell,1360.0,166
tourism,1344.0,167
hiking,1330.0,168
irritability,1328.0,169
ocean,1328.0,170
royalty,1242.0,171
pet,1225.0,172
liquid,1177.0,173
hygiene,1140.0,174
plant,1118.0,175
furniture,1098.0,176
blue_collar_job,1031.0,177
air_travel,985.0,178
anticipation,970.0,179
water,951.0,180
exasperation,890.0,181
tool,883.0,182
beach,855.0,183
sailing,779.0,184
monster,727.0,185
swimming,652.0,186
terrorism,643.0,187
farming,544.0,188
ship,507.0,189
exotic,425.0,190
superhero,377.0,191
medieval,361.0,192
anonymity,315.0,193
